Date,S&P index
01/04/2025,4690.91
02/04/2025,4773.44
03/04/2025,4494.07
04/04/2025,4601.54
07/04/2025,4216.94
08/04/2025,4129.53
09/04/2025,4467.42
10/04/2025,4304.01
11/04/2025,4518.21
14/04/2025,4592.74
15/04/2025,4531.31
16/04/2025,4544.04
17/04/2025,4560.78
18/04/2025,4560.24
21/04/2025,4681.64
22/04/2025,4902.66
23/04/2025,5029.27
24/04/2025,5036.18
25/04/2025,5122.92
28/04/2025,5104.94
29/04/2025,5130.25
30/04/2025,5048.71
01/05/2025,5176.96
02/05/2025,5180.17
05/05/2025,5043.24
06/05/2025,5051.12
07/05/2025,5097.98
08/05/2025,5455.47
09/05/2025,5629.71
12/05/2025,5650.47
13/05/2025,5857.92
14/05/2025,5751.56
15/05/2025,5686.67
16/05/2025,5734.18
19/05/2025,5747.4
20/05/2025,5800.66
21/05/2025,5887.97
22/05/2025,6052.54
23/05/2025,5912.71
26/05/2025,5900.56
27/05/2025,5990.13
28/05/2025,5819.53
29/05/2025,5778.48
30/05/2025,5679.92
02/06/2025,5637.91
03/06/2025,5769.58
04/06/2025,5691.71
05/06/2025,5506.19
06/06/2025,5601.06
09/06/2025,5837.71
10/06/2025,5949.62
